"HolderAddress","Balance","PendingBalanceUpdate"
"0xea1a6307d9b18f8d1cbf1c3dd6aad8416c06a221","13,042.125188007173313968","No"
"0x1f84ca2c0a406b32e083e4e41032fd148364df48","2,344.114059709270641995","No"
"0x6e799758cee75dae3d84e09d40dc416ecf713652","1,837.483824659127596469","No"
"0xfc44011b887a8824a708d7271e15c9ac79bb1132","1,683.355183718482064312","No"
"0xfc09d8c9a63670702c2de876ff95608ab971dcd6","860.564776570225202863","No"
"0x0c67f4ffc902140c972ecab356c9993e6ce8caf3","771.611555463735900416","No"
"0xcb89e891c581fbe0bea4fac2ba9829d816515a81","603.817489925492112786","No"
"0x33c0b106c459d86841e96d58db211ae8554132d2","490.658897699637803171","No"
"0x6c9d7cf085a8369af0139ab52f9521b9d6894768","488.897156582272154299","No"
"0x98f654450c796a41b76cb2a3731bf22ab5d32da9","485.629498511347224984","No"
"0x245d19b275331a67f5cb4b7ebcba11bec43eb282","473.970313924067356102","No"
"0xa329ac2efffea563159897d7828866cfaed42167","437.697725393564381063","No"
"0x45ea1c8d4ea952d89fa0861cbad5d47cf2f2fa79","432.164963186719915414","No"
"0x69ce8721790edbdcd2b4155d853d99d2680477b0","425.027634875975359668","No"
"0x757db7c1d65b1d3144e2afb3de8aa3d6ee87594c","306.612776129784445131","No"
"0xd76f1c2764a5f22548713cde767b5b752170d6d7","303.803445814518106793","No"
"0x0a807c667c11809c00d05c4d9ad46a50fd63b2d2","289.553249133729666573","No"
"0x64627901dadb46ed7f275fd4fc87d086cff1e6e3","285.574788002403792455","No"
"0x274e1d88c0230e2511eb535ac579adbe96ba2f78","245.753382518311831947","No"
"0x857ab110153ad57240ab920e93bfb549c045af55","243.670349790620838656","No"
"0x41a79036c22c8648a822915fe9e732a25f960703","231.354550541999202383","No"
"0x80b3153f39aeec1ef68adc038913698e103e6e1d","206.615369840211959172","No"
"0xfbc63fda13063eb6e3ad7078e64b7ae402f08658","199.580742178055934474","No"
"0xfc871296f1e2303b638967716a69252921510d34","193.344921342510882814","No"
"0xbeba42450bf553756b65b190a29c9978ddc1a38a","190.307052790599924159","No"
"0x6897625c2da7e985e9c22e0d7b27a960fc81d1d2","183.137151048074958399","No"
"0x54bd93ad656718e099c4840317afffaa845ea351","182.590185998395777805","No"
"0x22561c5931143536309c17e832587b625c390b9a","167.925801809336029784","No"
"0x91746d6f9df58b9807a5bb0e54e4ea86600c2dba","164.444970265251647102","No"
"0x3b9a14c2dbe25d6cc65a3ba5e5de6cb0c22cb9a0","143.166510637930075789","No"
"0xdb02da0a36c7b19461fd00da62d4ff3be884668e","140.589629781131844501","No"
"0x922eb28991c2cbaebc70e85d238f75d5ea8b5745","127.898268964229880764","No"
"0x232624b6f898afed392adbcc665c8796b93e6f4a","120.373887678794641289","No"
"0x1cacf9f35a14c758f72c84cc3528fcc3387bb756","117.481252320654567624","No"
"0xc20a1e6be0644238e67bf3ea709bd53008f9380a","103.110332151820036002","No"
